FAB,PRODUCT,ROUTE,PRODUCT_GROUP,TARGET_CYCLE_TIME_IN_DAYS,TOTAL_MASK_LAYERS,SCRAP_RELEASE_THRESHOLD,SCRAP_RELEASE_QTY,RETURN_PRODUCT,NON_OPTIONAL_STEPS,TOTAL_RAW_PROCESS_TIME,PRODUCT_GROUP_2
SIMTECH,PRO_18,ROUTE_18,PG_10,30.22999958,11,0,0,0,165,7.970478468,
SIMTECH,PRO_10,ROUTE_08,PG_5,37.5700095,13,0,0,0,189,9.893822527,
SIMTECH,PRO_7,ROUTE_01,PG_4,47.58998693,22,0,0,0,299,12.53793805,
SIMTECH,PRO_19,ROUTE_19,PG_10,28.59000143,10,0,0,0,130,7.52751709,
SIMTECH,PRO_25,ROUTE_27,PG_13,55.75999553,18,0,0,0,270,14.69733905,
SIMTECH,PRO_27,ROUTE_21,PG_14,37.42000051,9,0,0,0,155,9.857956872,
SIMTECH,PRO_8,ROUTE_02,PG_4,50.73001099,19,0,0,0,268,13.37110576,
SIMTECH,PRO_24,ROUTE_26,PG_13,52.68000186,18,0,0,0,270,13.87833995,
SIMTECH,PRO_29,ROUTE_23,PG_15,42.79999458,9,0,0,0,161,11.2737007,
SIMTECH,PRO_9,ROUTE_07,PG_5,38.3099976,12,0,0,0,184,10.09479259,
SIMTECH,PRO_30,ROUTE_28,PG_16,79.84001821,27,0,0,0,412,21.04525949,
SIMTECH,PRO_1,ROUTE_03,PG_1,54.39998915,21,0,0,0,320,14.33708552,
SIMTECH,PRO_2,ROUTE_03,PG_1,54.39998915,23,0,0,0,320,14.33708552,
SIMTECH,PRO_3,ROUTE_04,PG_2,69.46000516,21,0,0,0,387,18.29526857,
SIMTECH,PRO_35,ROUTE_33,PG_18,80.59999424,23,0,0,0,407,21.23361981,
SIMTECH,PRO_20,ROUTE_06,PG_11,66.25999523,18,0,0,0,344,17.45761472,
SIMTECH,PRO_15,ROUTE_15,PG_8,5.629999458,3,0,0,1,39,1.477486046,
SIMTECH,PRO_5,ROUTE_09,PG_3,44.67000292,12,0,0,0,180,11.76971353,
SIMTECH,PRO_23,ROUTE_17,PG_12,19.65000178,4,0,0,0,100,5.184255789,
SIMTECH,PRO_4,ROUTE_05,PG_2,74.37999539,20,0,0,0,390,19.59748955,
SIMTECH,PRO_26,ROUTE_20,PG_14,31.80000543,9,0,0,0,134,8.376863143,
SIMTECH,PRO_33,ROUTE_31,PG_17,89.44003547,28,0,0,0,478,23.5649864,
SIMTECH,PRO_22,ROUTE_16,PG_12,18.15000031,4,0,0,0,97,4.789218605,
SIMTECH,PRO_12,ROUTE_25,PG_6,49.45000373,12,0,0,0,193,13.02438115,
SIMTECH,PRO_14,ROUTE_14,PG_8,3.73000039,2,0,0,1,28,0.980146088,
SIMTECH,PRO_32,ROUTE_30,PG_17,83.12003106,26,0,0,0,430,21.89372454,
SIMTECH,PRO_21,ROUTE_06,PG_11,66.25999523,19,0,0,0,344,17.45761472,
SIMTECH,PRO_11,ROUTE_24,PG_6,49.30999298,12,0,0,0,196,12.99479872,
SIMTECH,PRO_34,ROUTE_32,PG_18,90.18000217,26,0,0,0,481,23.75288606,
SIMTECH,PRO_16,ROUTE_11,PG_9,40.78999312,16,0,0,0,214,10.75458358,
SIMTECH,PRO_28,ROUTE_22,PG_15,48.2899963,10,0,0,0,166,12.71241768,
SIMTECH,PRO_31,ROUTE_29,PG_16,71.11999812,26,0,0,0,368,18.73400986,
SIMTECH,PRO_6,ROUTE_10,PG_3,41.88999381,11,0,0,0,184,11.03633843,
SIMTECH,PRO_13,ROUTE_13,PG_7,19.19000024,5,0,0,0,95,5.055991165,
SIMTECH,PRO_17,ROUTE_12,PG_9,36.52000147,16,0,0,0,212,9.628768684,
